"linha","ano","mes","parlamentar","gasto","valor"
"57",2015,"01","FERNANDO HUGO","Serviços de Telecomunicações",1242.76
"58",2015,"01","FERNANDO HUGO","Vale-Refeição e Vale-Alimentação",2000
"59",2015,"01","FERREIRA ARAGAO","Combustíveis e Lubrificantes Automotivos",6000
"60",2015,"01","FERREIRA ARAGAO","Divulgação das Atividades Parlamentares",6500
"61",2015,"01","FERREIRA ARAGAO","Serviços de Telecomunicações",2225.46
"62",2015,"01","FERREIRA ARAGAO","Vale-Refeição e Vale-Alimentação",4000
"63",2015,"01","GONY ARRUDA","Combustíveis e Lubrificantes Automotivos",6000
"64",2015,"01","GONY ARRUDA","Serviços Gráficos e Editoriais",5710
"65",2015,"01","GONY ARRUDA","Serviços de Telecomunicações",1119.72
"66",2015,"01","GONY ARRUDA","Vale-Refeição e Vale-Alimentação",2000
"67",2015,"01","HEITOR FERRER","Combustíveis e Lubrificantes Automotivos",3000
"68",2015,"01","HEITOR FERRER","Seguros em Geral",8000
"69",2015,"01","HEITOR FERRER","Serviços Gráficos e Editoriais",7980
"70",2015,"01","HEITOR FERRER","Serviços Técnicos Profissionais",725
"71",2015,"01","HEITOR FERRER","Serviços de Telecomunicações",1088.4
"72",2015,"01","HEITOR FERRER","Vale-Refeição e Vale-Alimentação",3997
"73",2015,"01","HERMINIO RESENDE","Combustíveis e Lubrificantes Automotivos",6000
"74",2015,"01","HERMINIO RESENDE","Serviços Técnicos Profissionais",8000
"75",2015,"01","HERMINIO RESENDE","Serviços de Telecomunicações",1883.82
"76",2015,"01","HERMINIO RESENDE","Vale-Refeição e Vale-Alimentação",5165
"77",2015,"01","IDEMAR CITO","Combustíveis e Lubrificantes Automotivos",6000
"78",2015,"01","IDEMAR CITO","Outros Serviços de Terceiros - Pessoa Jurídica",74.62
"79",2015,"01","IDEMAR CITO","Passagens Aéreas",9042.62
"80",2015,"01","IDEMAR CITO","Serviços de Telecomunicações",16.14
"81",2015,"01","IDEMAR CITO","Vale-Refeição e Vale-Alimentação",4000
"82",2015,"01","INES ARRUDA","Combustíveis e Lubrificantes Automotivos",6000
"83",2015,"01","INES ARRUDA","Divulgação das Atividades Parlamentares",8000
"84",2015,"01","INES ARRUDA","Passagens Aéreas",1611.52
"85",2015,"01","INES ARRUDA","Serviços Técnicos Profissionais",8000
"86",2015,"01","INES ARRUDA","Serviços de Telecomunicações",1747.04
"87",2015,"01","INES ARRUDA","Vale-Refeição e Vale-Alimentação",4000
"88",2015,"01","JOAO JAIME","Combustíveis e Lubrificantes Automotivos",6000
"89",2015,"01","JOAO JAIME","Serviços Técnicos Profissionais",16000
"90",2015,"01","JOAO JAIME","Vale-Refeição e Vale-Alimentação",2000
"91",2015,"01","JOSE ALBUQUERQUE","Combustíveis e Lubrificantes Automotivos",6000
"92",2015,"01","JOSE ALBUQUERQUE","Vale-Refeição e Vale-Alimentação",4000
"93",2015,"01","JULIO CESAR FILHO","Combustíveis e Lubrificantes Automotivos",3000
"94",2015,"01","JULIO CESAR FILHO","Serviços Gráficos e Editoriais",5999.5
"95",2015,"01","JULIO CESAR FILHO","Serviços Técnicos Profissionais",15000
"96",2015,"01","JULIO CESAR FILHO","Serviços de Telecomunicações",1660.1
"97",2015,"01","JULIO CESAR FILHO","Vale-Refeição e Vale-Alimentação",3000
"98",2015,"01","LEONARDO PINHEIRO","Combustíveis e Lubrificantes Automotivos",6000
"99",2015,"01","LEONARDO PINHEIRO","Serviços Gráficos e Editoriais",8000
"100",2015,"01","LEONARDO PINHEIRO","Serviços Técnicos Profissionais",8000
"101",2015,"01","LEONARDO PINHEIRO","Vale-Refeição e Vale-Alimentação",3000
"102",2015,"01","LUCILVIO GIRAO","Combustíveis e Lubrificantes Automotivos",6000
"103",2015,"01","LUCILVIO GIRAO","Serviços Gráficos e Editoriais",8000
"104",2015,"01","LUCILVIO GIRAO","Serviços Técnicos Profissionais",13000
"105",2015,"01","LUCILVIO GIRAO","Serviços de Telecomunicações",892.49
"106",2015,"01","LUCILVIO GIRAO","Vale-Refeição e Vale-Alimentação",1000
"107",2015,"01","LULA MORAIS","Combustíveis e Lubrificantes Automotivos",6000
"108",2015,"01","LULA MORAIS","Passagens Aéreas",4007.44
"109",2015,"01","LULA MORAIS","Serviços Técnicos Profissionais",16000
"110",2015,"01","LULA MORAIS","Serviços de Telecomunicações",1848.41
"111",2015,"01","LULA MORAIS","Vale-Refeição e Vale-Alimentação",1980
"112",2015,"01","MAILSON CRUZ","Serviços Gráficos e Editoriais",7905
"113",2015,"01","MAILSON CRUZ","Serviços Técnicos Profissionais",16000
"114",2015,"01","MANOEL DUCA","Combustíveis e Lubrificantes Automotivos",6000
"115",2015,"01","MANOEL DUCA","Divulgação das Atividades Parlamentares",8000
"116",2015,"01","MANOEL DUCA","Passagens Aéreas",426.06
"117",2015,"01","MANOEL DUCA","Serviços Gráficos e Editoriais",8000
"118",2015,"01","MANOEL DUCA","Serviços Técnicos Profissionais",4500
"119",2015,"01","MANOEL DUCA","Vale-Refeição e Vale-Alimentação",900
"120",2015,"01","MARIO HELIO","Combustíveis e Lubrificantes Automotivos",6000
"121",2015,"01","MARIO HELIO","Serviços Gráficos e Editoriais",7983
"122",2015,"01","MARIO HELIO","Serviços Técnicos Profissionais",14000
"123",2015,"01","MARIO HELIO","Vale-Refeição e Vale-Alimentação",4000
"124",2015,"01","MAURO FILHO","Combustíveis e Lubrificantes Automotivos",6000
"125",2015,"01","MIRIAN SOBREIRA","Combustíveis e Lubrificantes Automotivos",6000
"126",2015,"01","MIRIAN SOBREIRA","Serviços de Telecomunicações",732.74
"127",2015,"01","MIRIAN SOBREIRA","Vale-Refeição e Vale-Alimentação",2400
"128",2015,"01","NENEN COELHO","Serviços Técnicos Profissionais",8000
"129",2015,"01","NETO NUNES","Combustíveis e Lubrificantes Automotivos",6000
"130",2015,"01","NETO NUNES","Convênio com Plano de Saúde",2534.89
"131",2015,"01","NETO NUNES","Divulgação das Atividades Parlamentares",1670
"132",2015,"01","NETO NUNES","Outros Serviços de Terceiros - Pessoa Jurídica",4803.2
"133",2015,"01","NETO NUNES","Serviços de Telecomunicações",799.1
"134",2015,"01","OSMAR BAQUIT","Combustíveis e Lubrificantes Automotivos",6000
"135",2015,"01","OSMAR BAQUIT","Serviços de Telecomunicações",1588.96
"136",2015,"01","OSMAR BAQUIT","Vale-Refeição e Vale-Alimentação",2200
"137",2015,"01","PAULO FACO","Combustíveis e Lubrificantes Automotivos",4800
"138",2015,"01","PAULO FACO","Serviços Técnicos Profissionais",7980
"139",2015,"01","PAULO FACO","Serviços de Telecomunicações",343.6
"140",2015,"01","PAULO FACO","Vale-Refeição e Vale-Alimentação",3500
"141",2015,"01","PROFESSOR PINHEIRO","Combustíveis e Lubrificantes Automotivos",6000
"142",2015,"01","PROFESSOR PINHEIRO","Passagens Aéreas",4044.33
"143",2015,"01","PROFESSOR PINHEIRO","Serviços Gráficos e Editoriais",5000
"144",2015,"01","PROFESSOR PINHEIRO","Serviços de Telecomunicações",559.01
"145",2015,"01","PROFESSOR PINHEIRO","Vale-Refeição e Vale-Alimentação",4000
"146",2015,"01","PROFESSOR TEODORO","Combustíveis e Lubrificantes Automotivos",6000
"147",2015,"01","PROFESSOR TEODORO","Divulgação das Atividades Parlamentares",8000
"148",2015,"01","PROFESSOR TEODORO","Outros Serviços de Terceiros - Pessoa Jurídica",1935.04
"149",2015,"01","PROFESSOR TEODORO","Passagens Aéreas",4769.2
"150",2015,"01","PROFESSOR TEODORO","Serviços de Telecomunicações",2273.2
"151",2015,"01","PROFESSOR TEODORO","Vale-Refeição e Vale-Alimentação",3773
"152",2015,"01","RACHEL MARQUES","Combustíveis e Lubrificantes Automotivos",6000
"153",2015,"01","RACHEL MARQUES","DESPESAS DE TELEPROCESSAMENTO",385
"154",2015,"01","RACHEL MARQUES","Divulgação das Atividades Parlamentares",5000
"155",2015,"01","RACHEL MARQUES","Serviços Técnicos Profissionais",8000
"156",2015,"01","RACHEL MARQUES","Serviços de Telecomunicações",409.1
"157",2015,"01","RACHEL MARQUES","Vale-Refeição e Vale-Alimentação",4000
"158",2015,"01","ROBERTO MESQUITA","Combustíveis e Lubrificantes Automotivos",6000
"159",2015,"01","ROBERTO MESQUITA","Serviços de Telecomunicações",90.54
"160",2015,"01","ROBERTO MESQUITA","Vale-Refeição e Vale-Alimentação",4000
"161",2015,"01","ROGERIO AGUIAR","Combustíveis e Lubrificantes Automotivos",6000
"162",2015,"01","ROGERIO AGUIAR","Passagens Aéreas",3129.86
"163",2015,"01","ROGERIO AGUIAR","Serviços Gráficos e Editoriais",7998.5
"164",2015,"01","ROGERIO AGUIAR","Serviços Técnicos Profissionais",16000
"165",2015,"01","ROGERIO AGUIAR","Serviços de Telecomunicações",1297.05
"166",2015,"01","ROGERIO AGUIAR","Vale-Refeição e Vale-Alimentação",600
"167",2015,"01","RONALDO MARTINS","Combustíveis e Lubrificantes Automotivos",6000
"168",2015,"01","RONALDO MARTINS","Passagens Aéreas",17000.24
"169",2015,"01","RONALDO MARTINS","Serviços de Telecomunicações",1436.12
"170",2015,"01","RONALDO MARTINS","Vale-Refeição e Vale-Alimentação",4000
"171",2015,"01","SERGIO AGUIAR","Combustíveis e Lubrificantes Automotivos",6000
"172",2015,"01","SERGIO AGUIAR","Divulgação das Atividades Parlamentares",500
"173",2015,"01","SERGIO AGUIAR","Outros Serviços de Terceiros - Pessoa Jurídica",124.44
"174",2015,"01","SERGIO AGUIAR","Serviços Gráficos e Editoriais",3300
"175",2015,"01","SERGIO AGUIAR","Serviços Técnicos Profissionais",16000
"176",2015,"01","SERGIO AGUIAR","Serviços de Telecomunicações",1553.78
"177",2015,"01","SERGIO AGUIAR","Vale-Refeição e Vale-Alimentação",580.5
"178",2015,"01","SINEVAL ROQUE","Combustíveis e Lubrificantes Automotivos",6000
"179",2015,"01","SINEVAL ROQUE","Serviços Técnicos Profissionais",12000
"180",2015,"01","SINEVAL ROQUE","Serviços de Telecomunicações",3043.42
"181",2015,"01","SINEVAL ROQUE","Vale-Refeição e Vale-Alimentação",4000
"182",2015,"01","TEO MENEZES","Combustíveis e Lubrificantes Automotivos",6000
"183",2015,"01","TEO MENEZES","Serviços Gráficos e Editoriais",4510
"184",2015,"01","TEO MENEZES","Serviços Técnicos Profissionais",16000
"185",2015,"01","TEO MENEZES","Serviços de Telecomunicações",659.07
"186",2015,"01","TEO MENEZES","Vale-Refeição e Vale-Alimentação",2000
"187",2015,"01","TIN GOMES","Combustíveis e Lubrificantes Automotivos",6000
"188",2015,"01","TIN GOMES","Convênio com Plano de Saúde",2466.56
"189",2015,"01","TIN GOMES","Passagens Aéreas",14061.67
"190",2015,"01","TIN GOMES","Serviços de Telecomunicações",1512.99
"191",2015,"01","TIN GOMES","Vale-Refeição e Vale-Alimentação",3997
"192",2015,"01","VANDERLEY PEDROSA","Combustíveis e Lubrificantes Automotivos",6000
"193",2015,"01","VANDERLEY PEDROSA","Serviços Técnicos Profissionais",5000
"194",2015,"01","WELINGTON LANDIM","Combustíveis e Lubrificantes Automotivos",6000
"195",2015,"01","WELINGTON LANDIM","Divulgação das Atividades Parlamentares",2400
"196",2015,"01","WELINGTON LANDIM","Serviços de Telecomunicações",3067.24
"197",2015,"01","WELINGTON LANDIM","Vale-Refeição e Vale-Alimentação",2500
"198",2015,"02","BRUNO GONCALVES","",NA
"199",2015,"02","ADERLANIA NORONHA","Divulgação das Atividades Parlamentares",300
"200",2015,"02","ADERLANIA NORONHA","Locação de Veículos",5040
"201",2015,"02","ADERLANIA NORONHA","Passagens Aéreas",1482.26
"202",2015,"02","ADERLANIA NORONHA","Vale-Refeição e Vale-Alimentação",4000
"203",2015,"02","AGENOR NETO","Combustíveis e Lubrificantes Automotivos",3000
"204",2015,"02","AGENOR NETO","Vale-Refeição e Vale-Alimentação",4000
"205",2015,"02","ANA PAULA CRUZ","Passagens Aéreas",563.13
"206",2015,"02","ANA PAULA CRUZ","Passagens Terrestres",306.77
"207",2015,"02","ANA PAULA CRUZ","Serviços Técnicos Profissionais",6570
"208",2015,"02","ANTONIO CARLOS","Passagens Aéreas",660.92
"209",2015,"02","ANTONIO CARLOS","Serviços Gráficos e Editoriais",8000
"210",2015,"02","ANTONIO GRANJA","Combustíveis e Lubrificantes Automotivos",6000
"211",2015,"02","ANTONIO GRANJA","Serviços Técnicos Profissionais",24000
"212",2015,"02","ANTONIO GRANJA","Vale-Refeição e Vale-Alimentação",4000
"213",2015,"02","AUDIC MOTA","Combustíveis e Lubrificantes Automotivos",6000
"214",2015,"02","AUDIC MOTA","Divulgação das Atividades Parlamentares",300
"215",2015,"02","AUDIC MOTA","Serviços Técnicos Profissionais",8000
"216",2015,"02","AUDIC MOTA","Vale-Refeição e Vale-Alimentação",4000
"217",2015,"02","AUGUSTA BRITO","Locação de Veículos",7482
"218",2015,"02","AUGUSTA BRITO","Vale-Refeição e Vale-Alimentação",3992
"219",2015,"02","AUGUSTINHO MOREIRA","Serviços Técnicos Profissionais",11200
"220",2015,"02","BETHROSE","Combustíveis e Lubrificantes Automotivos",4000
"221",2015,"02","BETHROSE","Convênio com Plano de Saúde",1108.5
"222",2015,"02","BETHROSE","Divulgação das Atividades Parlamentares",7300
"223",2015,"02","BETHROSE","Serviços Técnicos Profissionais",14000
"224",2015,"02","BETHROSE","Serviços de Telecomunicações",1015.55
"225",2015,"02","BETHROSE","Vale-Refeição e Vale-Alimentação",1000
"226",2015,"02","BRUNO PEDROSA","Combustíveis e Lubrificantes Automotivos",6000
"227",2015,"02","BRUNO PEDROSA","Convênio com Plano de Saúde",538.69
"228",2015,"02","BRUNO PEDROSA","Serviços Técnicos Profissionais",16000
"229",2015,"02","CAPITAO WAGNER","Combustíveis e Lubrificantes Automotivos",6000
"230",2015,"02","CAPITAO WAGNER","Vale-Refeição e Vale-Alimentação",4000
"231",2015,"02","CARLOMANO MARQUES","Combustíveis e Lubrificantes Automotivos",6000
"232",2015,"02","CARLOMANO MARQUES","Divulgação das Atividades Parlamentares",8000
"233",2015,"02","CARLOMANO MARQUES","Serviços Técnicos Profissionais",14000
"234",2015,"02","CARLOS FELIPE","Combustíveis e Lubrificantes Automotivos",6000
"235",2015,"02","CARLOS FELIPE","Vale-Refeição e Vale-Alimentação",4000
"236",2015,"02","CARLOS MATOS","Combustíveis e Lubrificantes Automotivos",3000
"237",2015,"02","CARLOS MATOS","Vale-Refeição e Vale-Alimentação",4000
"238",2015,"02","DANNIEL OLIVEIRA","Combustíveis e Lubrificantes Automotivos",6000
"239",2015,"02","DANNIEL OLIVEIRA","Convênio com Plano de Saúde",867.81
"240",2015,"02","DANNIEL OLIVEIRA","DESPESAS DE TELEPROCESSAMENTO",7970
"241",2015,"02","DANNIEL OLIVEIRA","Divulgação das Atividades Parlamentares",950
"242",2015,"02","DANNIEL OLIVEIRA","Passagens Aéreas",11591.19
"243",2015,"02","DANNIEL OLIVEIRA","Serviços Gráficos e Editoriais",8000
"244",2015,"02","DANNIEL OLIVEIRA","Serviços de Telecomunicações",1187.55
"245",2015,"02","DANNIEL OLIVEIRA","Vale-Refeição e Vale-Alimentação",4000
"246",2015,"02","DELEGADO CAVALCANTE","Passagens Aéreas",5007.53
"247",2015,"02","DELEGADO CAVALCANTE","Vale-Refeição e Vale-Alimentação",2000
"248",2015,"02","DR BRUNO GONCALVES","Serviços Técnicos Profissionais",8000
"249",2015,"02","DR BRUNO GONCALVES","Vale-Refeição e Vale-Alimentação",3990
"250",2015,"02","DR. SARTO","ASSINATURAS DE PERIÓDICOS E ANUIDADES",847.29
"251",2015,"02","DR. SARTO","Combustíveis e Lubrificantes Automotivos",6000
"252",2015,"02","DR. SARTO","Convênio com Plano de Saúde",640.92
"253",2015,"02","DR. SARTO","Serviços Gráficos e Editoriais",7998.5
"254",2015,"02","DR. SARTO","Serviços Técnicos Profissionais",21435
"255",2015,"02","DR. SARTO","Vale-Refeição e Vale-Alimentação",4000
"256",2015,"02","DRA SILVANA","Serviços Técnicos Profissionais",16000
"257",2015,"02","DRA SILVANA","Vale-Refeição e Vale-Alimentação",2000
"258",2015,"02","ELIANE NOVAES","Passagens Terrestres",8843.85
"259",2015,"02","ELMANO","Combustíveis e Lubrificantes Automotivos",6000
"260",2015,"02","ELMANO","Divulgação das Atividades Parlamentares",250
"261",2015,"02","ELMANO","Passagens Aéreas",2735.98
"262",2015,"02","ELMANO","Vale-Refeição e Vale-Alimentação",3980
"263",2015,"02","ELY AGUIAR","Combustíveis e Lubrificantes Automotivos",6000
"264",2015,"02","ELY AGUIAR","Serviços Gráficos e Editoriais",14000
"265",2015,"02","EVANDRO LEITAO","Divulgação das Atividades Parlamentares",5000
"266",2015,"02","EVANDRO LEITAO","Serviços Gráficos e Editoriais",7998.5
"267",2015,"02","EVANDRO LEITAO","Serviços Técnicos Profissionais",16000
"268",2015,"02","FERNANDA PESSOA","Combustíveis e Lubrificantes Automotivos",6000
"269",2015,"02","FERNANDA PESSOA","DESPESAS DE TELEPROCESSAMENTO",350
"270",2015,"02","FERNANDA PESSOA","Divulgação das Atividades Parlamentares",1550
"271",2015,"02","FERNANDA PESSOA","Locação de Veículos",11400
"272",2015,"02","FERNANDA PESSOA","Serviços Técnicos Profissionais",8200
"273",2015,"02","FERNANDA PESSOA","Vale-Refeição e Vale-Alimentação",4000
"274",2015,"02","FERNANDO HUGO","Combustíveis e Lubrificantes Automotivos",6000
"275",2015,"02","FERNANDO HUGO","Vale-Refeição e Vale-Alimentação",2000
"276",2015,"02","FERREIRA ARAGAO","Combustíveis e Lubrificantes Automotivos",6000
"277",2015,"02","FERREIRA ARAGAO","Divulgação das Atividades Parlamentares",6500
"278",2015,"02","FERREIRA ARAGAO","Vale-Refeição e Vale-Alimentação",4000
"279",2015,"02","GONY ARRUDA","ASSINATURAS DE PERIÓDICOS E ANUIDADES",995.4
"280",2015,"02","GONY ARRUDA","Combustíveis e Lubrificantes Automotivos",6000
"281",2015,"02","GONY ARRUDA","Convênio com Plano de Saúde",4460.62
"282",2015,"02","GONY ARRUDA","DESPESAS DE TELEPROCESSAMENTO",163.82
"283",2015,"02","GONY ARRUDA","Seguros em Geral",474
"284",2015,"02","GONY ARRUDA","Serviços Gráficos e Editoriais",3100
"285",2015,"02","GONY ARRUDA","Serviços Técnicos Profissionais",16000
"286",2015,"02","GONY ARRUDA","Serviços de Telecomunicações",158.68
"287",2015,"02","GONY ARRUDA","Vale-Refeição e Vale-Alimentação",2000
"288",2015,"02","HEITOR FERRER","ASSINATURAS DE PERIÓDICOS E ANUIDADES",1239.5
"289",2015,"02","HEITOR FERRER","Combustíveis e Lubrificantes Automotivos",3000
"290",2015,"02","HEITOR FERRER","Divulgação das Atividades Parlamentares",11000
"291",2015,"02","HEITOR FERRER","Serviços Gráficos e Editoriais",7990
"292",2015,"02","HEITOR FERRER","Serviços Técnicos Profissionais",725
"293",2015,"02","HEITOR FERRER","Serviços de Telecomunicações",25.6
"294",2015,"02","HEITOR FERRER","Vale-Refeição e Vale-Alimentação",3997
"295",2015,"02","HERMINIO RESENDE","Passagens Aéreas",1039.8
"296",2015,"02","HERMINIO RESENDE","Serviços Técnicos Profissionais",16000
"297",2015,"02","IDEMAR CITO","Passagens Aéreas",899.3
"298",2015,"02","IDEMAR CITO","Serviços Gráficos e Editoriais",8000
"299",2015,"02","IDEMAR CITO","Serviços Técnicos Profissionais",8000
"300",2015,"02","IDEMAR CITO","Serviços de Comunicação em Geral",42.79
"301",2015,"02","INES ARRUDA","Serviços Técnicos Profissionais",11000
"302",2015,"02","JEOVA MOTA","Serviços Técnicos Profissionais",16000
"303",2015,"02","JEOVA MOTA","Vale-Refeição e Vale-Alimentação",360
"304",2015,"02","JOAO JAIME","Combustíveis e Lubrificantes Automotivos",6000
"305",2015,"02","JOAO JAIME","Divulgação das Atividades Parlamentares",7400
"306",2015,"02","JOAO JAIME","Serviços Técnicos Profissionais",16000
"307",2015,"02","JOAO JAIME","Vale-Refeição e Vale-Alimentação",2000
"308",2015,"02","JOAQUIM NORONHA","Combustíveis e Lubrificantes Automotivos",6000
"309",2015,"02","JOAQUIM NORONHA","Vale-Refeição e Vale-Alimentação",4000
"310",2015,"02","JOSE ALBUQUERQUE","Combustíveis e Lubrificantes Automotivos",6000
"311",2015,"02","JOSE ALBUQUERQUE","Convênio com Plano de Saúde",1707.8
"312",2015,"02","JOSE ALBUQUERQUE","Seguros em Geral",1054.4
"313",2015,"02","JOSE ALBUQUERQUE","Vale-Refeição e Vale-Alimentação",4000
"314",2015,"02","JULIO CESAR FILHO","Combustíveis e Lubrificantes Automotivos",3000
"315",2015,"02","JULIO CESAR FILHO","Serviços Gráficos e Editoriais",5999.5
"316",2015,"02","JULIO CESAR FILHO","Serviços Técnicos Profissionais",15000
"317",2015,"02","JULIO CESAR FILHO","Vale-Refeição e Vale-Alimentação",3000
"318",2015,"02","LAIS NUNES","Combustíveis e Lubrificantes Automotivos",6000
"319",2015,"02","LAIS NUNES","Divulgação das Atividades Parlamentares",1670
"320",2015,"02","LEONARDO PINHEIRO","Combustíveis e Lubrificantes Automotivos",6000
"321",2015,"02","LEONARDO PINHEIRO","Seguros em Geral",1262.56
"322",2015,"02","LEONARDO PINHEIRO","Serviços Técnicos Profissionais",19300
"323",2015,"02","LEONARDO PINHEIRO","Vale-Refeição e Vale-Alimentação",3000
"324",2015,"02","LUCILVIO GIRAO","Combustíveis e Lubrificantes Automotivos",6000
"325",2015,"02","LUCILVIO GIRAO","Convênio com Plano de Saúde",1019.38
"326",2015,"02","LUCILVIO GIRAO","Serviços Gráficos e Editoriais",8000
"327",2015,"02","LUCILVIO GIRAO","Serviços Técnicos Profissionais",13000
"328",2015,"02","LUCILVIO GIRAO","Vale-Refeição e Vale-Alimentação",1000
"329",2015,"02","LULA MORAIS","Serviços Técnicos Profissionais",8000
"330",2015,"02","MAILSON CRUZ","Divulgação das Atividades Parlamentares",3570
"331",2015,"02","MANOEL DUCA","Combustíveis e Lubrificantes Automotivos",6000
"332",2015,"02","MANOEL DUCA","Divulgação das Atividades Parlamentares",8000
"333",2015,"02","MANOEL DUCA","Passagens Aéreas",1928.58
"334",2015,"02","MANOEL DUCA","Passagens Terrestres",291.95
"335",2015,"02","MANOEL DUCA","Seguros em Geral",1410.24
"336",2015,"02","MANOEL DUCA","Serviços Gráficos e Editoriais",8000
"337",2015,"02","MANOEL DUCA","Serviços de Telecomunicações",467.38
"338",2015,"02","MANOEL DUCA","Vale-Refeição e Vale-Alimentação",900
"339",2015,"02","MARIO HELIO","Serviços Técnicos Profissionais",8600
"340",2015,"02","MIRIAN SOBREIRA","Combustíveis e Lubrificantes Automotivos",6000
"341",2015,"02","MIRIAN SOBREIRA","Divulgação das Atividades Parlamentares",600
"342",2015,"02","MIRIAN SOBREIRA","Serviços Gráficos e Editoriais",4640
"343",2015,"02","MIRIAN SOBREIRA","Serviços Técnicos Profissionais",16000
"344",2015,"02","MIRIAN SOBREIRA","Vale-Refeição e Vale-Alimentação",2400
"345",2015,"02","MOISES BRAZ","Combustíveis e Lubrificantes Automotivos",3000
